Family	CommonName
AP2	APETALA2a
ERF	DREB3
Dof	Dof4
EIL	EIL1
bZIP	LeZIP2
ERF	Sl-ERF_F_3
ERF	Sl-ERF_F_5
ERF	SlERF1
ERF	SlERF1a-2
HD-ZIP	SlHB1
MYB	SlMYB44
MYB	SlMYBL2
MYB_related	SlMYBL3
TCP	SlTCP18
WOX	SlWOX14
bZIP	SlZIP3
bZIP	SlZIP7
HSF	SolycHsfA2
HSF	SolycHsfA7
ERF	JERF1
ZF-HD	IMA
BES1	LAT61
GRAS	GRAS10
C2H2	SlC2H2L-1
C2H2	SlC2H2-1
GRAS	SCL32-like
GRAS	GRAS12
bZIP	SlZIP6
SBP	SlySBP12a
Tri-helix	SlGT2
C2H2	SlZF3
