original_file,new_file,group,number,common_name,dap_type,rep,control_files,source
ampA11_2.bw,A_DREB3_ampDAP_rep2.bw,A,11,DREB3,ampDAP,2,ampA_N_2.bw,daplist
ampB43_2.bw,B_Sl-ERF_F_4_ampDAP_rep2.bw,B,43,Sl-ERF_F_4,ampDAP,2,ampB_N_2.bw,daplist
ampA10_3.bw,A_SlGABL2_ampDAP_rep3.bw,A,10,SlGABL2,ampDAP,3,ampA_N_3.bw,daplist
ampB39_3.bw,B_EIL2_ampDAP_rep3.bw,B,39,EIL2,ampDAP,3,ampB_N_3.bw,daplist
ampC75-1.bw,C_SlWRKY6_ampDAP_rep1.bw,C,75,SlWRKY6,ampDAP,1,ampC-N-1.bw,daplist
ampD129-2.bw,D_SlbHLH147_ampDAP_rep2.bw,D,129,SlbHLH147,ampDAP,2,ampD-N-2.bw,daplist
A14-1.bw,A_SlZIP3_DAP_rep1.bw,A,14,SlZIP3,DAP,1,A-N-1.bw,daplist
ampD104-3.bw,D_SolycHsfB2b_ampDAP_rep3.bw,D,104,SolycHsfB2b,ampDAP,3,ampD-N-3.bw,daplist
F104-1.bw,F_SolycHsfB2b_DAP_rep1.bw,F,104,SolycHsfB2b,DAP,1,F-N-1.bw,daplist
A20-3.bw,A_SlNAM1_DAP_rep3.bw,A,20,SlNAM1,DAP,3,A-N-3.bw,daplist
ampA24_1.bw,A_SlWRKY41_ampDAP_rep1.bw,A,24,SlWRKY41,ampDAP,1,ampA_N_1.bw,daplist
CN83-3.bw,CN_SlWOX14_DAP_rep3.bw,CN,83,SlWOX14,DAP,3,CN-N-3.bw,daplist
E155-1.bw,E_SlNAM5_DAP_rep1.bw,E,155,SlNAM5,DAP,1,E-N-1.bw,daplist
B56_1.bw,B_SlMYBL1_DAP_rep1.bw,B,56,SlMYBL1,DAP,1,B_N_1.bw,daplist
SR13-2.bw,SR_NAC-NOR_ampDAP_rep2.bw,SR,13,NAC-NOR,ampDAP,2,SRN-2.bw,daplist
ampC82-2.bw,C_SlMADF1_ampDAP_rep2.bw,C,82,SlMADF1,ampDAP,2,ampC-N-2.bw,daplist
ampD131-1.bw,D_SlHZIP3_ampDAP_rep1.bw,D,131,SlHZIP3,ampDAP,1,ampD-N-1.bw,daplist
ampB54_2.bw,B_SlMYB70_ampDAP_rep2.bw,B,54,SlMYB70,ampDAP,2,ampB_N_2.bw,daplist
CN82-3.bw,CN_SlMADF1_DAP_rep3.bw,CN,82,SlMADF1,DAP,3,CN-N-3.bw,daplist
A21-3.bw,A_SlZF1_DAP_rep3.bw,A,21,SlZF1,DAP,3,A-N-3.bw,daplist
D131_3.bw,D_SlHZIP3_DAP_rep3.bw,D,131,SlHZIP3,DAP,3,D_N_3.bw,daplist
ampA33_1.bw,A_SlTCP15_ampDAP_rep1.bw,A,33,SlTCP15,ampDAP,1,ampA_N_1.bw,daplist
SR109-2.bw,SR_SlMYBL3_ampDAP_rep2.bw,SR,109,SlMYBL3,ampDAP,2,SRN-2.bw,daplist
F105-1.bw,F_SlC2H2L-1_DAP_rep1.bw,F,105,SlC2H2L-1,DAP,1,F-N-1.bw,total_mapped_uniq
ampD105-3.bw,D_SlC2H2L-1_ampDAP_rep3.bw,D,105,SlC2H2L-1,ampDAP,3,ampD-N-3.bw,total_mapped_uniq
B62_3.bw,B_SlWRKY7_DAP_rep3.bw,B,62,SlWRKY7,DAP,3,B_N_3.bw,daplist
ampC74-1.bw,C_APETALA2a_ampDAP_rep1.bw,C,74,APETALA2a,ampDAP,1,ampC-N-1.bw,daplist
ampD128-2.bw,D_SlTCP12_ampDAP_rep2.bw,D,128,SlTCP12,ampDAP,2,ampD-N-2.bw,daplist
A15-1.bw,A_CNR_DAP_rep1.bw,A,15,CNR,DAP,1,A-N-1.bw,daplist
ampA11_3.bw,A_DREB3_ampDAP_rep3.bw,A,11,DREB3,ampDAP,3,ampA_N_3.bw,daplist
ampA10_2.bw,A_SlGABL2_ampDAP_rep2.bw,A,10,SlGABL2,ampDAP,2,ampA_N_2.bw,daplist
ampB43_3.bw,B_Sl-ERF_F_4_ampDAP_rep3.bw,B,43,Sl-ERF_F_4,ampDAP,3,ampB_N_3.bw,daplist
ampB39_2.bw,B_EIL2_ampDAP_rep2.bw,B,39,EIL2,ampDAP,2,ampB_N_2.bw,daplist
ampD129-3.bw,D_SlbHLH147_ampDAP_rep3.bw,D,129,SlbHLH147,ampDAP,3,ampD-N-3.bw,daplist
ampD104-2.bw,D_SolycHsfB2b_ampDAP_rep2.bw,D,104,SolycHsfB2b,ampDAP,2,ampD-N-2.bw,daplist
CN75-1.bw,CN_SlWRKY6_DAP_rep1.bw,CN,75,SlWRKY6,DAP,1,CN-N-1.bw,daplist
ampB61_1.bw,B_SlDof14_ampDAP_rep1.bw,B,61,SlDof14,ampDAP,1,ampB_N_1.bw,daplist
A20-2.bw,A_SlNAM1_DAP_rep2.bw,A,20,SlNAM1,DAP,2,A-N-2.bw,daplist
SR30-1.bw,SR_EIL1_ampDAP_rep1.bw,SR,30,EIL1,ampDAP,1,SRN-1.bw,daplist
D129_1.bw,D_SlbHLH147_DAP_rep1.bw,D,129,SlbHLH147,DAP,1,D_N_1.bw,daplist
CN83-2.bw,CN_SlWOX14_DAP_rep2.bw,CN,83,SlWOX14,DAP,2,CN-N-2.bw,daplist
